countries	var_analyzed	2021/5	2021/6	2021/7	2021/8	2021/9	2021/10	2021/11	2021/12	2022/1	2022/2	2022/3	2022/4	2022/5	2022/6	2022/7	2022/8	2022/9	2022/10	2022/11
Afghanistan	deaths_million	71,58	118,433	163,098	173,066	175,157	177,005	177,686	178,853	180,263	184,737	186,487	186,804	187,338	187,776	188,384	189,089	189,648	190,183	190,451
Afghanistan	cases_million	1746,66	2885,061	3577,885	3725,373	3772,882	3799,044	3824,306	3843,635	3961,363	4222,324	4321,719	4349,242	4384,935	4437,964	4516,279	4698,657	4843,033	4937,249	5006,398
Afghanistan	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Afghanistan	rep_rate	1,327	1,187	0,826	0,688	0,856	0,932	1,051	1,080	1,466	1,083	0,822	0,909	1,194	1,163	1,182	1,119	0,952	0,936	0,917
Afghanistan	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Afghanistan	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Africa	deaths_million	91,561	100,183	119,201	137,571	147,474	152,967	156,418	160,123	167,512	174,4	176,594	177,244	178,082	178,754	179,452	179,798	179,966	180,117	180,364
Africa	cases_million	3392,592	3858,117	4702,581	5460,292	5825,018	5960,837	6088,832	6838,1	7630,761	7943,433	8101,66	8181,467	8330,111	8455,092	8591,982	8639,007	8661,185	8680,641	8711,597
Africa	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Africa	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Africa	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Africa	vacc_hundred	0,59	1,1	1,59	2,68	4,23	5,66	6,96	8,74	10,33	11,78	14,57	15,74	16,52	17,89	20,07	21,48	22,61	24,67	26,03
